feature,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,Weekend,Revenue
Administrative,1.0,0.9407254697608095,0.3691943114899908,0.36286115555731485,0.46020386996564333,0.42161265035282725,-0.15521931526744798,-0.4343889333418239,0.32835004337740054,-0.12539115394452083,-0.004962762683050417,-0.01235911643582818,0.0094130704471174,-0.011738644069149484,0.039526610701783066,0.16794514030674562
Administrative_Duration,0.9407254697608095,1.0,0.3571504173473918,0.3520603639231525,0.43007186225676186,0.41376451431415495,-0.16360942722557978,-0.4379123659494947,0.31732891684578035,-0.13162156775804346,-0.007425472644598073,-0.02300345462969293,0.01876147804762974,-0.01548550926500209,0.04254935327896261,0.16395984701949207
Informational,0.3691943114899908,0.3571504173473918,1.0,0.9509578407923649,0.3686734293295551,0.36752150099178055,0.0057525802857222134,-0.1856906868960102,0.21947114365877476,-0.05411456643540894,1.733988888928509e-05,-0.020385880929676872,-0.022920238920569127,-0.029060782363573696,0.04309824320536914,0.11387576923343329
Informational_Duration,0.36286115555731485,0.3520603639231525,0.9509578407923649,1.0,0.3610320768319327,0.3627197233917409,-0.0024742514897061556,-0.2000562082041673,0.2239193513498186,-0.0543136206844804,0.003002592024067645,-0.013450789276750164,-0.015007302722929185,-0.02634903177419765,0.04628363573037796,0.11212039084003904
ProductRelated,0.46020386996564333,0.43007186225676186,0.3686734293295551,0.3610320768319327,1.0,0.8826717951893844,-0.05230507163200944,-0.5189200521932623,0.3419752646408669,-0.021536084355211402,0.02121811760877407,0.043554464017446705,-0.021400296700959682,-0.06987748513581332,0.03436922301009134,0.19854471756883663
ProductRelated_Duration,0.42161265035282725,0.41376451431415495,0.36752150099178055,0.3627197233917409,0.8826717951893844,1.0,-0.07976762269798329,-0.476935204673386,0.36028155055762817,-0.049578199155494836,0.0234847545092457,0.045757556702519186,-0.009665589954788244,-0.07251639039442327,0.027364327488159947,0.21676388403816968
BounceRates,-0.15521931526744798,-0.16360942722557978,0.0057525802857222134,-0.0024742514897061556,-0.05230507163200944,-0.07976762269798329,1.0,0.6022763357682258,-0.12372635512750757,0.13534056949690484,0.053447528197090186,-0.047057484677483,-0.017960044322119992,0.015582520465675298,-0.03216459383924497,-0.14897743520082848
ExitRates,-0.4343889333418239,-0.4379123659494947,-0.1856906868960102,-0.2000562082041673,-0.5189200521932623,-0.476935204673386,0.6022763357682258,1.0,-0.308002321188076,0.15127835243464893,0.022356967258364734,-0.016318772624292505,-0.0039338401236710206,0.022439557734039228,-0.06763954107780086,-0.2544879568756732
PageValues,0.32835004337740054,0.31732891684578035,0.21947114365877476,0.2239193513498186,0.3419752646408669,0.36028155055762817,-0.12372635512750757,-0.308002321188076,1.0,-0.07048046063713187,-0.012409231510446503,0.025728355166628115,0.0012017022648986013,-0.01750423272273392,0.02069516971103431,0.6263627593256479
SpecialDay,-0.12539115394452083,-0.13162156775804346,-0.05411456643540894,-0.0543136206844804,-0.021536084355211402,-0.049578199155494836,0.13534056949690484,0.15127835243464893,-0.07048046063713187,1.0,0.02267946698375236,0.02073417464743461,-0.01497716926824804,0.1101497826869993,-0.07424161298037488,-0.0868784739297377
OperatingSystems,-0.004962762683050417,-0.007425472644598073,1.733988888928509e-05,0.003002592024067645,0.02121811760877407,0.0234847545092457,0.053447528197090186,0.022356967258364734,-0.012409231510446503,0.02267946698375236,1.0,0.37470343354666147,0.02685985362768076,0.0795664127926887,0.006614438138970469,-0.027329992459799824
Browser,-0.01235911643582818,-0.02300345462969293,-0.020385880929676872,-0.013450789276750164,0.043554464017446705,0.045757556702519186,-0.047057484677483,-0.016318772624292505,0.025728355166628115,0.02073417464743461,0.37470343354666147,1.0,0.055387707304562994,4.419285816511689e-05,-0.06299929496447902,0.016233778718298796
Region,0.0094130704471174,0.01876147804762974,-0.022920238920569127,-0.015007302722929185,-0.021400296700959682,-0.009665589954788244,-0.017960044322119992,-0.0039338401236710206,0.0012017022648986013,-0.01497716926824804,0.02685985362768076,0.055387707304562994,1.0,-0.0039403318499123974,0.0066437169964294164,-0.014792282525562176
TrafficType,-0.011738644069149484,-0.01548550926500209,-0.029060782363573696,-0.02634903177419765,-0.06987748513581332,-0.07251639039442327,0.015582520465675298,0.022439557734039228,-0.01750423272273392,0.1101497826869993,0.0795664127926887,4.419285816511689e-05,-0.0039403318499123974,1.0,0.00872308482311298,-0.001189169374614806
Weekend,0.039526610701783066,0.04254935327896261,0.04309824320536914,0.04628363573037796,0.03436922301009134,0.027364327488159947,-0.03216459383924497,-0.06763954107780086,0.02069516971103431,-0.07424161298037488,0.006614438138970469,-0.06299929496447902,0.0066437169964294164,0.00872308482311298,1.0,0.02929536797199449
Revenue,0.16794514030674562,0.16395984701949207,0.11387576923343329,0.11212039084003904,0.19854471756883663,0.21676388403816968,-0.14897743520082848,-0.2544879568756732,0.6263627593256479,-0.0868784739297377,-0.027329992459799824,0.016233778718298796,-0.014792282525562176,-0.001189169374614806,0.02929536797199449,1.0
