feature,VIF
ExitRates,6.951508828825304
BounceRates,6.355282432787392
ProductRelated,4.394648350744245
ProductRelated_Duration,4.328707423567727
Administrative,1.9436173337913778
Informational,1.830829909981004
Administrative_Duration,1.6907019775903307
Informational_Duration,1.6784219527010262
OperatingSystems,1.0877434771695589
Browser,1.0717739717352852
TrafficType,1.0535641052122486
PageValues,1.048127479761305
SpecialDay,1.023716716091542
Region,1.0163894229435877
Weekend,1.0074682016383214
