params,mean_test_score,std_test_score,rank_test_score
"{'n_estimators': 300, 'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': None}",0.7440641216114662,0.01859291523871568,1
"{'n_estimators': 300, 'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': 30}",0.7438793134175923,0.0187594573749994,2
"{'n_estimators': 200, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 10}",0.7425291486198297,0.01886211216559344,3
"{'n_estimators': 300, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': None}",0.7423486162977798,0.016293021238710875,4
"{'n_estimators': 200, 'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': 10}",0.7416588747000086,0.016235495504505194,5
"{'n_estimators': 300, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 10}",0.7414845796162471,0.018783386117262026,6
"{'n_estimators': 200, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 20}",0.7400120192973236,0.016433138269802236,7
"{'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 10}",0.7391907834051149,0.016625968066729554,8
"{'n_estimators': 200, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 20}",0.737708203879773,0.019571330774822815,9
"{'n_estimators': 100, 'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': 30}",0.7375603474026825,0.01589953068118255,10
"{'n_estimators': 300, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': None}",0.7366903277127912,0.015142463669836577,11
"{'n_estimators': 100, 'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 30}",0.7353940006520991,0.019670392851452854,12
"{'n_estimators': 200, 'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 10}",0.7348640776391049,0.018363886193143133,13
"{'n_estimators': 200, 'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 20}",0.7347475943582173,0.018423081281370608,14
"{'n_estimators': 300, 'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 20}",0.7347070762861995,0.02010776234718222,15
"{'n_estimators': 200, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': None}",0.7345915199224268,0.015251534133127716,16
"{'n_estimators': 300, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 30}",0.7343963164763176,0.01884919740660241,17
"{'n_estimators': 200, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 20}",0.7342681478908043,0.022449544909499863,18
"{'n_estimators': 100, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 20}",0.7340421686662086,0.021270546064685,19
"{'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 20}",0.7335955797663424,0.018788955162154668,20
"{'n_estimators': 300, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 30}",0.7332615745734761,0.0167699870868237,21
"{'n_estimators': 200, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 10}",0.7328968444100687,0.019974051528809465,22
"{'n_estimators': 200, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 30}",0.7325832527315101,0.02058728163106339,23
"{'n_estimators': 100, 'min_samples_split': 10, 'max_features': 'log2', 'max_depth': None}",0.7320610906612772,0.013649101246959944,24
"{'n_estimators': 200, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 30}",0.7317868571745624,0.013519628286145084,25
"{'n_estimators': 100, 'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 20}",0.7313633161962019,0.0146201813330285,26
"{'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': None}",0.7288750447964769,0.01674488758247634,27
"{'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 10}",0.7271806720198555,0.018253766903991206,28
"{'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 30}",0.7248241633174619,0.010777511586893228,29
"{'n_estimators': 100, 'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 10}",0.7219603777576967,0.019907735177656555,30
